latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-21.97892,-56.06004,320.34,3.37,1.73,2026-09-08,1,Terra,MODIS,100,6.1NRT,285.6,119.13,N
-21.97602,-56.02704,300.46,3.35,1.73,2026-09-08,1,Terra,MODIS,28,6.1NRT,283.97,33.61,N
-21.97575,-56.05482,322.26,3.37,1.73,2026-09-08,1,Terra,MODIS,100,6.1NRT,285.46,128.85,N
-20.49789,-57.42811,307.0,4.11,1.88,2026-09-08,1,Terra,MODIS,70,6.1NRT,285.25,68.97,N
-20.49226,-57.43343,304.81,4.11,1.88,2026-09-08,1,Terra,MODIS,62,6.1NRT,285.03,58.69,N
-18.78203,-49.44349,302.25,1.09,1.04,2026-09-08,1,Terra,MODIS,48,6.1NRT,288.86,5.49,N
-18.77286,-49.44481,307.97,1.09,1.04,2026-09-08,1,Terra,MODIS,73,6.1NRT,288.6,9.56,N
-18.77157,-49.4348,314.76,1.09,1.04,2026-09-08,1,Terra,MODIS,90,6.1NRT,289.24,15.51,N
-18.69625,-49.63734,311.7,1.1,1.05,2026-09-08,1,Terra,MODIS,83,6.1NRT,289.07,12.88,N
-18.69495,-49.62713,303.56,1.1,1.05,2026-09-08,1,Terra,MODIS,56,6.1NRT,289.19,6.58,N
-16.13441,-49.52192,301.22,1.05,1.02,2026-09-08,1,Terra,MODIS,39,6.1NRT,288.09,5.0,N
-15.83463,-56.61135,300.0,3.09,1.67,2026-09-08,1,Terra,MODIS,5,6.1NRT,288.25,19.21,N
-14.91056,-44.67792,307.62,1.4,1.17,2026-09-08,1,Terra,MODIS,25,6.1NRT,280.53,14.14,N
-13.44179,-43.81858,328.62,1.7,1.28,2026-09-08,3,Terra,MODIS,93,6.1NRT,294.92,55.58,N
-13.43053,-43.82032,317.38,1.7,1.28,2026-09-08,3,Terra,MODIS,62,6.1NRT,292.13,27.94,N
-13.40191,-44.15123,308.65,1.61,1.25,2026-09-08,3,Terra,MODIS,75,6.1NRT,296.8,10.06,N
-11.39269,-45.75654,310.25,1.34,1.15,2026-09-08,3,Terra,MODIS,48,6.1NRT,292.02,13.09,N
-11.39087,-45.74463,324.88,1.35,1.15,2026-09-08,3,Terra,MODIS,100,6.1NRT,292.08,33.57,N
-11.3826,-45.75809,312.66,1.34,1.15,2026-09-08,3,Terra,MODIS,68,6.1NRT,291.98,15.63,N
-11.38239,-45.75153,309.96,1.35,1.15,2026-09-08,3,Terra,MODIS,46,6.1NRT,291.89,12.51,N
-11.3723,-45.75311,327.79,1.35,1.15,2026-09-08,3,Terra,MODIS,100,6.1NRT,292.77,37.08,N
-11.37054,-45.74123,325.01,1.35,1.15,2026-09-08,3,Terra,MODIS,84,6.1NRT,292.33,32.1,N
-11.35031,-45.7442,306.93,1.35,1.15,2026-09-08,3,Terra,MODIS,45,6.1NRT,291.52,9.84,N
-11.34853,-45.73222,312.13,1.35,1.15,2026-09-08,3,Terra,MODIS,84,6.1NRT,291.84,15.95,N
-11.33401,-45.09533,307.95,1.49,1.21,2026-09-08,3,Terra,MODIS,46,6.1NRT,295.68,10.56,N
-11.33205,-45.36224,332.17,1.43,1.18,2026-09-08,3,Terra,MODIS,100,6.1NRT,295.37,51.84,N
-11.32333,-45.09636,310.88,1.49,1.21,2026-09-08,3,Terra,MODIS,37,6.1NRT,295.73,13.22,N
-11.3213,-45.08316,310.85,1.5,1.21,2026-09-08,3,Terra,MODIS,61,6.1NRT,296.18,13.3,N
-11.31926,-45.06986,307.66,1.5,1.21,2026-09-08,3,Terra,MODIS,24,6.1NRT,295.78,9.7,N
-11.31272,-45.09796,311.06,1.49,1.21,2026-09-08,3,Terra,MODIS,73,6.1NRT,293.85,13.72,N
-11.31068,-45.08469,306.78,1.5,1.21,2026-09-08,3,Terra,MODIS,14,6.1NRT,294.09,8.33,N
-10.25476,-45.20316,304.08,1.53,1.22,2026-09-08,3,Terra,MODIS,45,6.1NRT,293.43,7.01,N
-10.24407,-45.20491,303.85,1.53,1.22,2026-09-08,3,Terra,MODIS,39,6.1NRT,293.77,6.85,N
-9.0889,-47.81882,306.78,1.1,1.05,2026-09-08,3,Terra,MODIS,69,6.1NRT,292.5,6.89,N
-8.77883,-48.36654,302.51,1.06,1.03,2026-09-08,3,Terra,MODIS,50,6.1NRT,291.84,4.01,N
-8.36123,-49.72501,304.95,1.0,1.0,2026-09-08,3,Terra,MODIS,62,6.1NRT,288.18,4.83,N
-8.27795,-46.37888,311.61,1.36,1.15,2026-09-08,3,Terra,MODIS,83,6.1NRT,294.78,13.85,N
-7.79914,-49.20749,309.47,1.02,1.01,2026-09-08,3,Terra,MODIS,77,6.1NRT,293.4,7.19,N
-7.7979,-49.19852,339.36,1.02,1.01,2026-09-08,3,Terra,MODIS,100,6.1NRT,294.66,41.61,N
-7.75409,-49.54779,301.2,1.01,1.0,2026-09-08,3,Terra,MODIS,39,6.1NRT,286.16,3.6,N
